strategy,symbol,risk_pct,trades,annual_return_pct,max_dd_pct,winrate_pct,profit_factor,sharpe,years,final_balance,long_pct,short_pct,trades_per_month,best_month,best_month_pnl,worst_month,worst_month_pnl
volatility_breakout,ZROUSDT,1.0,127,3.25,11.46,32.28,1.0433,0.279,1.3,104238.98,42.5,57.5,8.16,2026-02,8202.8,2025-07,-7026.56
regime_switch_hybrid,ZRXUSDT,0.25,117,6.28,3.12,35.9,1.3441,1.322,1.3,108214.99,39.3,60.7,7.52,2025-04,4011.24,2025-10,-1567.67
regime_switch_hybrid,ZRXUSDT,0.5,117,12.69,6.2,35.9,1.3333,1.322,1.3,116759.57,39.3,60.7,7.52,2025-04,8200.67,2025-10,-3305.67
regime_switch_hybrid,ZRXUSDT,0.75,117,19.22,9.26,35.9,1.3228,1.321,1.3,125611.15,39.3,60.7,7.52,2025-04,12567.11,2025-10,-5217.65
regime_switch_hybrid,ZRXUSDT,1.0,117,25.85,12.27,35.9,1.3126,1.321,1.3,134743.31,39.3,60.7,7.52,2025-04,17109.03,2025-08,-7339.2
momentum_breakout,ZRXUSDT,0.25,35,-2.85,3.68,17.14,0.4935,-1.54,1.3,96321.61,51.4,48.6,2.25,2025-07,932.76,2026-02,-1787.02
momentum_breakout,ZRXUSDT,0.5,35,-5.64,7.26,17.14,0.4936,-1.54,1.3,92740.66,51.4,48.6,2.25,2025-07,1847.51,2026-02,-3508.73
momentum_breakout,ZRXUSDT,0.75,35,-8.39,10.74,17.14,0.4937,-1.54,1.3,89256.52,51.4,48.6,2.25,2025-07,2743.96,2026-02,-5165.2
momentum_breakout,ZRXUSDT,1.0,35,-11.08,14.13,17.14,0.4938,-1.539,1.3,85868.48,51.4,48.6,2.25,2025-07,3621.81,2026-02,-6756.64
ema_crossover,ZRXUSDT,0.25,97,0.21,2.66,34.02,1.0237,0.084,1.3,100270.77,50.5,49.5,6.23,2025-12,2872.48,2025-06,-1093.63
ema_crossover,ZRXUSDT,0.5,97,0.3,5.27,34.02,1.0169,0.082,1.3,100387.12,50.5,49.5,6.23,2025-12,5702.14,2025-06,-2187.08
ema_crossover,ZRXUSDT,0.75,97,0.27,7.81,34.02,1.0103,0.08,1.3,100352.63,50.5,49.5,6.23,2025-12,8483.28,2025-06,-3279.39
ema_crossover,ZRXUSDT,1.0,97,0.13,10.28,34.02,1.0037,0.078,1.3,100171.28,50.5,49.5,6.23,2025-12,11210.47,2025-06,-4369.61
bb_mean_reversion,ZRXUSDT,0.25,1309,-69.11,78.7,28.42,0.6432,-4.781,1.3,21784.72,52.6,47.4,84.09,2025-10,2327.23,2025-05,-13690.05
bb_mean_reversion,ZRXUSDT,0.5,1309,-87.81,93.48,28.42,0.6866,-4.849,1.3,6520.45,52.6,47.4,84.09,2025-10,1067.01,2025-05,-19719.43
bb_mean_reversion,ZRXUSDT,0.75,1309,-94.48,97.67,28.42,0.7113,-4.731,1.3,2333.0,52.6,47.4,84.09,2025-10,511.97,2025-05,-21771.64
bb_mean_reversion,ZRXUSDT,1.0,1309,-97.24,99.05,28.42,0.7304,-4.537,1.3,948.14,52.6,47.4,84.09,2025-10,260.27,2025-05,-21996.54
volatility_breakout,ZRXUSDT,0.25,124,-2.43,5.16,29.03,0.8706,-0.565,1.3,96854.41,54.0,46.0,7.97,2025-06,3798.23,2025-09,-2571.28
