pairs,n_pairs,annual_return_pct,max_dd_pct,profit_factor,sharpe,winrate_pct,trades,signals_skipped,avg_corr,final_balance,long_pct,short_pct,best_month,best_month_pnl,worst_month,worst_month_pnl
ETHUSDT+BCHUSDT+SUIUSDT+ADAUSDT,4,173.2,16.36,1.8062,3.758,42.21,796,79,0.5614,1998408.07,43.5,56.5,2026-03,298326.66,2025-06,-71932.27
ETHUSDT+TONUSDT+XLMUSDT+ZECUSDT,4,187.16,10.37,1.7901,3.822,43.08,817,60,0.423,2319195.68,43.7,56.3,2026-01,301684.27,2025-07,-22736.58
ETHUSDT+TONUSDT+XLMUSDT+DOGEUSDT,4,177.74,11.08,1.9601,3.646,43.57,785,80,0.5309,2099644.02,42.3,57.7,2026-01,349621.12,2024-07,-14028.87
ETHUSDT+TONUSDT+XLMUSDT+1000PEPEUSDT,4,171.83,12.23,1.8594,3.591,42.71,796,68,0.4843,1972234.48,43.1,56.9,2026-01,273160.83,2024-10,-19955.37
ETHUSDT+TONUSDT+XLMUSDT+SUIUSDT,4,162.49,16.17,1.8712,3.554,42.0,812,72,0.4812,1774486.29,42.6,57.4,2026-01,277613.55,2025-06,-26012.62
ETHUSDT+TONUSDT+XLMUSDT+ADAUSDT,4,154.71,16.97,1.766,3.429,41.96,808,80,0.5394,1622200.48,41.0,59.0,2026-01,254924.51,2025-06,-49199.96
ETHUSDT+TONUSDT+ZECUSDT+DOGEUSDT,4,190.44,12.31,1.7964,3.923,43.32,778,66,0.4832,2395683.56,43.8,56.2,2026-01,315452.5,2025-07,-7219.53
ETHUSDT+TONUSDT+ZECUSDT+1000PEPEUSDT,4,182.05,12.81,1.7381,3.9,42.42,785,58,0.4478,2201679.04,44.3,55.7,2026-05,291737.05,2024-10,-3958.23
ETHUSDT+TONUSDT+ZECUSDT+SUIUSDT,4,182.54,14.42,1.7922,3.874,42.36,798,65,0.446,2207086.39,43.5,56.5,2026-02,280763.38,2025-07,-47471.91
ETHUSDT+TONUSDT+ZECUSDT+ADAUSDT,4,186.81,12.37,1.7399,3.908,42.66,804,63,0.4747,2307721.37,42.3,57.7,2025-12,284617.85,2024-07,-23707.96
ETHUSDT+TONUSDT+DOGEUSDT+1000PEPEUSDT,4,176.01,16.21,1.8904,3.783,43.28,751,80,0.5905,2064076.94,43.0,57.0,2026-01,295848.19,2024-07,-15016.58
ETHUSDT+TONUSDT+DOGEUSDT+SUIUSDT,4,172.72,12.81,1.9006,3.744,42.73,770,81,0.5635,1986217.17,43.8,56.2,2026-01,291705.1,2025-06,-11826.6
ETHUSDT+TONUSDT+DOGEUSDT+ADAUSDT,4,170.46,12.43,1.8521,3.722,42.89,767,88,0.6062,1934848.94,41.5,58.5,2026-01,309800.22,2024-07,-22354.95
ETHUSDT+TONUSDT+1000PEPEUSDT+SUIUSDT,4,169.33,16.87,1.8581,3.712,42.0,781,69,0.5254,1918586.91,43.4,56.6,2026-01,220674.28,2024-10,-24865.57
ETHUSDT+TONUSDT+1000PEPEUSDT+ADAUSDT,4,176.48,13.31,1.8148,3.817,42.6,777,77,0.5575,2074500.35,42.0,58.0,2026-01,259186.84,2024-07,-21553.72
ETHUSDT+TONUSDT+SUIUSDT+ADAUSDT,4,165.5,13.99,1.7852,3.618,41.67,804,70,0.5559,1833791.18,41.8,58.2,2026-01,268116.81,2025-06,-44380.14
ETHUSDT+XLMUSDT+ZECUSDT+DOGEUSDT,4,169.84,9.1,1.7202,3.642,42.57,808,86,0.499,1911251.12,44.4,55.6,2025-12,259033.0,2026-05,-12710.36
