pairs,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf,is_trades,passes
BCH+BNB+ETH,120.8,12.48,1.87,3.82,317,58.0,8.91,1.58,299,no
BCH+BNB+HBAR,79.5,12.31,1.56,2.99,323,64.5,6.99,1.53,348,no
BCH+BNB+LTC,122.5,10.64,1.78,3.63,343,57.0,15.1,1.49,332,no
BCH+BNB+SNX,122.7,8.96,1.84,3.81,327,76.0,12.12,1.58,348,no
BCH+BNB+TON,120.5,8.94,1.82,3.78,331,61.9,8.92,1.60,299,no
BCH+BNB+VET,93.0,8.1,1.63,3.16,354,60.5,10.26,1.54,331,no
BCH+BNB+WLD,108.6,12.08,1.74,3.69,338,49.5,11.45,1.46,319,no
BCH+BNB+XRP,107.5,12.4,1.72,3.52,327,49.1,11.29,1.49,299,no
BCH+BTC+DOGE,80.8,7.07,1.54,2.98,320,44.7,13.83,1.44,308,no
BCH+BTC+ENS,105.0,13.54,1.62,3.21,342,48.9,15.41,1.45,324,no
BCH+BTC+ETH,90.2,9.45,1.68,3.15,301,45.1,12.9,1.46,296,no
BCH+BTC+HBAR,54.8,10.91,1.40,2.29,307,51.3,9.62,1.44,345,no
BCH+BTC+LTC,92.4,8.75,1.60,3.15,327,44.3,18.42,1.39,329,no
BCH+BTC+SNX,92.1,10.6,1.64,3.25,311,61.4,13.99,1.48,345,no
BCH+BTC+TON,89.9,8.97,1.63,3.13,315,48.6,10.79,1.48,296,no
BCH+BTC+VET,66.5,10.69,1.47,2.57,338,47.2,16.76,1.44,328,no
BCH+BTC+WLD,80.0,8.57,1.56,3.12,322,37.3,13.68,1.36,316,no
BCH+BTC+XRP,79.2,11.55,1.55,2.96,311,36.9,14.25,1.38,296,no
BCH+DOGE+ENS,145.5,14.25,1.84,3.94,357,69.0,10.55,1.60,325,no
BCH+DOGE+ETH,127.8,7.25,1.93,4.07,316,64.7,10.98,1.63,297,no
BCH+DOGE+HBAR,85.4,7.89,1.60,3.29,322,71.5,7.25,1.58,346,no
BCH+DOGE+LTC,129.8,7.57,1.83,3.96,342,64.0,15.35,1.53,330,no
BCH+DOGE+SNX,129.5,8.1,1.89,4.07,326,83.4,10.79,1.62,346,no
BCH+DOGE+TON,127.3,7.22,1.87,4.11,330,68.9,11.04,1.65,297,no
BCH+DOGE+VET,99.0,9.76,1.68,3.28,353,67.3,10.27,1.60,329,no
BCH+DOGE+WLD,115.2,9.45,1.79,3.95,337,55.9,10.33,1.50,317,no
BCH+DOGE+XRP,114.0,9.22,1.77,3.72,326,55.4,9.27,1.55,297,no
BCH+ENS+ETH,158.8,16.97,2.01,4.34,338,69.3,11.0,1.64,313,no
BCH+ENS+HBAR,110.5,13.79,1.69,3.44,344,76.3,9.92,1.58,362,no
BCH+ENS+LTC,161.3,15.19,1.91,4.31,364,68.4,12.02,1.54,346,no
BCH+ENS+SNX,160.9,12.72,1.98,4.25,348,88.4,15.06,1.62,362,no
BCH+ENS+TON,158.3,13.99,1.95,4.47,352,73.5,9.92,1.65,313,no
BCH+ENS+VET,126.1,13.66,1.76,3.54,375,71.7,13.25,1.60,345,no
BCH+ENS+WLD,144.3,15.9,1.87,4.11,359,60.1,13.17,1.51,333,no
BCH+ENS+XRP,143.5,16.98,1.85,4.07,348,59.8,12.2,1.55,313,no
BCH+ETH+HBAR,95.4,10.86,1.75,3.56,303,71.9,9.19,1.61,334,no
BCH+ETH+LTC,142.2,11.51,2.02,4.2,323,64.0,12.0,1.56,318,no
BCH+ETH+SNX,142.1,6.71,2.10,4.36,307,83.8,10.31,1.66,334,no
BCH+ETH+TON,139.7,12.32,2.06,4.36,311,69.2,6.65,1.69,285,no
BCH+ETH+VET,110.1,7.73,1.84,3.7,334,67.5,8.98,1.63,317,no
BCH+ETH+WLD,126.9,11.38,1.97,4.19,318,56.1,10.44,1.53,305,no
BCH+ETH+XRP,125.7,14.06,1.94,3.98,307,55.8,10.22,1.58,285,no
BCH+HBAR+LTC,97.0,10.33,1.67,3.38,329,71.1,7.68,1.52,367,no
BCH+HBAR+SNX,97.0,8.19,1.72,3.4,313,91.1,10.18,1.60,383,no
BCH+HBAR+TON,94.4,13.48,1.70,3.28,317,76.1,8.0,1.62,334,no
BCH+HBAR+VET,70.4,8.31,1.52,2.68,340,74.4,13.4,1.58,366,no
BCH+HBAR+WLD,84.2,14.45,1.62,3.07,324,62.5,7.51,1.50,354,no
BCH+HBAR+XRP,83.5,10.82,1.61,3.18,313,62.3,8.87,1.54,334,no
BCH+LTC+SNX,144.4,7.11,1.98,4.33,333,82.5,15.97,1.56,367,no
BCH+LTC+TON,141.9,8.49,1.96,4.31,337,68.2,12.76,1.58,318,no
BCH+LTC+VET,111.9,7.8,1.75,3.5,360,66.6,11.88,1.53,350,no
BCH+LTC+WLD,129.3,10.75,1.86,3.98,344,55.1,12.35,1.45,338,no
BCH+LTC+XRP,127.8,11.57,1.85,3.94,333,55.0,14.02,1.49,318,no
BCH+SNX+TON,141.9,8.89,2.03,4.26,321,88.3,9.39,1.66,334,no
BCH+SNX+VET,111.8,8.97,1.80,3.69,344,86.8,12.56,1.62,366,no
