pairs,oos_annual,oos_dd,oos_pf,oos_trades,is_annual,is_dd,is_pf,is_trades
OPUSDT+DOTUSDT+AVAXUSDT,110.42,12.38,1.56,358,97.61,11.73,1.579,363
OPUSDT+DOTUSDT+ARBUSDT,164.17,10.08,1.773,364,99.8,12.46,1.588,346
OPUSDT+DOTUSDT+XRPUSDT,151.44,15.14,1.678,363,74.64,10.46,1.505,328
OPUSDT+DOTUSDT+XLMUSDT,170.72,12.29,1.724,377,86.36,13.87,1.539,368
OPUSDT+DOTUSDT+HBARUSDT,112.29,11.87,1.533,359,95.52,15.35,1.523,377
OPUSDT+DOTUSDT+ETHUSDT,169.58,12.24,1.82,353,86.5,11.4,1.57,328
OPUSDT+DOTUSDT+DOGEUSDT,153.32,12.09,1.668,372,86.11,16.82,1.544,340
OPUSDT+DOTUSDT+BTCUSDT,105.34,12.15,1.484,357,60.77,15.13,1.412,339
OPUSDT+DOTUSDT+BCHUSDT,145.51,13.92,1.751,350,107.88,14.18,1.712,346
OPUSDT+DOTUSDT+ADAUSDT,134.01,14.93,1.63,369,110.59,12.67,1.593,366
OPUSDT+DOTUSDT+1000PEPEUSDT,131.92,9.92,1.623,366,101.17,13.09,1.604,345
OPUSDT+DOTUSDT+WLDUSDT,150.82,16.72,1.698,374,74.71,12.72,1.46,348
OPUSDT+DOTUSDT+TONUSDT,167.36,12.92,1.77,367,91.93,13.56,1.577,328
OPUSDT+AVAXUSDT+ARBUSDT,110.39,13.78,1.638,348,91.87,10.05,1.555,354
OPUSDT+AVAXUSDT+XRPUSDT,100.21,16.35,1.549,347,68.1,10.46,1.469,336
OPUSDT+AVAXUSDT+XLMUSDT,115.57,11.95,1.599,361,78.86,15.19,1.505,376
OPUSDT+AVAXUSDT+HBARUSDT,69.2,12.38,1.401,343,87.78,16.93,1.495,385
OPUSDT+AVAXUSDT+ETHUSDT,115.17,15.97,1.68,337,79.44,13.14,1.535,336
OPUSDT+AVAXUSDT+DOGEUSDT,102.0,11.79,1.542,356,78.84,10.88,1.51,348
OPUSDT+AVAXUSDT+BTCUSDT,63.94,11.17,1.358,341,54.65,15.8,1.379,347
OPUSDT+AVAXUSDT+BCHUSDT,95.91,14.44,1.603,334,100.15,8.31,1.675,354
OPUSDT+AVAXUSDT+ADAUSDT,86.6,17.56,1.495,353,102.93,10.12,1.564,374
OPUSDT+AVAXUSDT+1000PEPEUSDT,84.99,12.59,1.489,350,93.57,13.48,1.573,353
OPUSDT+AVAXUSDT+WLDUSDT,100.59,16.65,1.565,358,67.91,12.06,1.43,356
OPUSDT+AVAXUSDT+TONUSDT,113.91,14.05,1.637,351,84.46,10.77,1.545,336
OPUSDT+ARBUSDT+XRPUSDT,151.27,13.48,1.763,353,69.31,11.09,1.475,319
OPUSDT+ARBUSDT+XLMUSDT,170.75,12.38,1.815,367,80.82,11.55,1.51,359
OPUSDT+ARBUSDT+HBARUSDT,112.08,11.73,1.608,349,90.08,13.89,1.499,368
OPUSDT+ARBUSDT+ETHUSDT,170.13,11.72,1.92,343,80.81,12.13,1.542,319
OPUSDT+ARBUSDT+DOGEUSDT,153.66,14.63,1.753,362,80.53,13.07,1.516,331
OPUSDT+ARBUSDT+BTCUSDT,105.55,14.02,1.549,347,56.01,14.72,1.385,330
OPUSDT+ARBUSDT+BCHUSDT,145.69,10.68,1.846,340,101.83,10.72,1.683,337
OPUSDT+ARBUSDT+ADAUSDT,134.44,12.28,1.712,359,104.71,12.36,1.567,357
OPUSDT+ARBUSDT+1000PEPEUSDT,132.08,9.5,1.704,356,95.28,12.18,1.579,336
OPUSDT+ARBUSDT+WLDUSDT,151.65,12.57,1.791,364,69.35,11.8,1.434,339
OPUSDT+ARBUSDT+TONUSDT,168.29,9.12,1.867,357,85.91,8.51,1.55,319
OPUSDT+XRPUSDT+XLMUSDT,157.33,14.33,1.716,366,57.93,10.57,1.417,341
OPUSDT+XRPUSDT+HBARUSDT,101.99,15.31,1.525,348,66.1,12.27,1.42,350
OPUSDT+XRPUSDT+ETHUSDT,157.74,19.44,1.809,342,58.45,9.4,1.449,301
OPUSDT+XRPUSDT+DOGEUSDT,141.9,16.34,1.66,361,58.04,10.82,1.424,313
OPUSDT+XRPUSDT+BTCUSDT,96.1,14.62,1.475,346,36.42,14.57,1.285,312
OPUSDT+XRPUSDT+BCHUSDT,133.91,17.52,1.739,339,76.46,10.07,1.588,319
OPUSDT+XRPUSDT+ADAUSDT,123.4,18.82,1.619,358,79.04,10.02,1.492,339
OPUSDT+XRPUSDT+1000PEPEUSDT,121.23,13.83,1.615,355,70.86,12.15,1.495,318
OPUSDT+XRPUSDT+WLDUSDT,140.23,18.01,1.693,363,48.64,11.64,1.347,321
OPUSDT+XRPUSDT+TONUSDT,155.16,15.31,1.759,356,63.07,9.35,1.463,301
OPUSDT+XLMUSDT+HBARUSDT,117.57,10.81,1.574,362,77.16,18.06,1.456,390
OPUSDT+XLMUSDT+ETHUSDT,177.62,14.43,1.863,356,68.7,14.5,1.486,341
OPUSDT+XLMUSDT+DOGEUSDT,160.7,10.58,1.707,375,68.43,12.42,1.461,353
OPUSDT+XLMUSDT+BTCUSDT,110.46,10.07,1.521,360,45.6,13.92,1.331,352
OPUSDT+XLMUSDT+BCHUSDT,151.58,12.3,1.796,353,88.16,12.0,1.62,359
OPUSDT+XLMUSDT+ADAUSDT,139.81,15.84,1.669,372,91.13,11.76,1.526,379
OPUSDT+XLMUSDT+1000PEPEUSDT,137.95,9.04,1.664,369,82.36,11.83,1.529,358
OPUSDT+XLMUSDT+WLDUSDT,157.9,15.6,1.745,377,58.24,11.91,1.386,361
OPUSDT+XLMUSDT+TONUSDT,174.56,11.32,1.814,370,73.87,11.91,1.5,341
OPUSDT+HBARUSDT+ETHUSDT,117.47,15.43,1.652,338,77.22,17.86,1.48,350
OPUSDT+HBARUSDT+DOGEUSDT,104.38,14.3,1.52,357,76.8,11.13,1.458,362
OPUSDT+HBARUSDT+BTCUSDT,65.31,15.29,1.344,342,52.9,17.86,1.339,361
OPUSDT+HBARUSDT+BCHUSDT,97.43,13.36,1.575,335,97.9,11.46,1.608,368
OPUSDT+HBARUSDT+ADAUSDT,88.55,16.2,1.475,354,100.39,14.65,1.509,388
OPUSDT+HBARUSDT+1000PEPEUSDT,87.14,11.01,1.469,351,91.53,11.6,1.516,367
OPUSDT+HBARUSDT+WLDUSDT,102.22,19.66,1.537,359,66.04,15.06,1.386,370
OPUSDT+HBARUSDT+TONUSDT,115.31,17.58,1.606,352,82.4,15.06,1.488,350
OPUSDT+ETHUSDT+DOGEUSDT,160.7,14.46,1.799,351,68.61,13.08,1.493,313
OPUSDT+ETHUSDT+BTCUSDT,110.13,14.83,1.586,336,45.85,15.57,1.351,312
OPUSDT+ETHUSDT+BCHUSDT,151.64,17.07,1.901,329,88.51,9.46,1.666,319
OPUSDT+ETHUSDT+ADAUSDT,140.03,18.62,1.753,348,91.25,11.53,1.555,339
OPUSDT+ETHUSDT+1000PEPEUSDT,137.94,13.78,1.752,345,82.51,12.52,1.564,318
OPUSDT+ETHUSDT+WLDUSDT,157.85,15.56,1.841,353,58.45,12.85,1.409,321
OPUSDT+ETHUSDT+TONUSDT,174.81,15.65,1.919,346,73.98,9.87,1.531,301
OPUSDT+DOGEUSDT+BTCUSDT,97.85,15.4,1.469,355,45.89,16.68,1.334,324
OPUSDT+DOGEUSDT+BCHUSDT,136.59,13.87,1.732,348,88.12,12.52,1.631,331
OPUSDT+DOGEUSDT+ADAUSDT,125.52,14.3,1.611,367,90.7,11.74,1.529,351
OPUSDT+DOGEUSDT+1000PEPEUSDT,123.02,9.71,1.605,364,82.06,13.47,1.537,330
OPUSDT+DOGEUSDT+WLDUSDT,142.31,15.72,1.685,372,58.77,12.48,1.389,333
OPUSDT+DOGEUSDT+TONUSDT,158.17,11.15,1.753,365,74.54,12.45,1.506,313
OPUSDT+BTCUSDT+BCHUSDT,92.21,12.74,1.517,333,62.52,13.19,1.481,330
OPUSDT+BTCUSDT+ADAUSDT,82.95,14.34,1.428,352,65.1,12.74,1.408,350
OPUSDT+BTCUSDT+1000PEPEUSDT,82.09,10.98,1.42,349,57.33,19.07,1.401,329
OPUSDT+BTCUSDT+WLDUSDT,97.39,14.67,1.488,357,37.07,18.18,1.266,332
OPUSDT+BTCUSDT+TONUSDT,109.88,12.78,1.551,350,50.65,11.49,1.368,312
OPUSDT+BCHUSDT+ADAUSDT,118.43,18.01,1.682,345,113.07,10.59,1.69,357
OPUSDT+BCHUSDT+1000PEPEUSDT,117.29,12.04,1.678,342,103.41,9.72,1.707,336
OPUSDT+BCHUSDT+WLDUSDT,135.6,16.01,1.762,350,76.72,8.87,1.537,339
OPUSDT+BCHUSDT+TONUSDT,150.55,14.7,1.842,343,93.97,10.41,1.677,319
OPUSDT+ADAUSDT+1000PEPEUSDT,106.75,14.18,1.564,361,106.52,11.92,1.587,356
OPUSDT+ADAUSDT+WLDUSDT,124.42,17.82,1.64,369,79.55,10.45,1.452,359
OPUSDT+ADAUSDT+TONUSDT,138.58,17.06,1.709,362,96.92,8.51,1.562,339
OPUSDT+1000PEPEUSDT+WLDUSDT,122.87,12.79,1.634,366,70.83,14.89,1.451,338
OPUSDT+1000PEPEUSDT+TONUSDT,137.67,10.97,1.708,359,87.58,9.13,1.57,318
OPUSDT+WLDUSDT+TONUSDT,157.5,20.84,1.785,367,63.67,10.4,1.42,321
SNXUSDT+ENSUSDT+DOTUSDT,226.53,11.93,1.865,372,106.21,18.8,1.527,371
SNXUSDT+ENSUSDT+AVAXUSDT,160.84,12.76,1.749,356,98.25,14.76,1.5,379
SNXUSDT+ENSUSDT+ARBUSDT,226.41,15.07,1.979,362,99.52,20.06,1.502,362
SNXUSDT+ENSUSDT+XRPUSDT,212.11,18.13,1.87,361,74.81,18.98,1.428,344
SNXUSDT+ENSUSDT+XLMUSDT,235.39,13.45,1.916,375,86.33,17.94,1.462,384
SNXUSDT+ENSUSDT+HBARUSDT,163.31,13.8,1.708,357,95.78,16.1,1.451,393
SNXUSDT+ENSUSDT+ETHUSDT,234.41,14.23,2.044,351,87.38,16.29,1.49,344
SNXUSDT+ENSUSDT+DOGEUSDT,213.82,15.54,1.851,370,86.75,15.08,1.467,356
SNXUSDT+ENSUSDT+BTCUSDT,153.98,11.49,1.638,355,61.26,26.89,1.352,355
SNXUSDT+ENSUSDT+BCHUSDT,204.58,14.72,1.974,348,108.52,17.35,1.613,362
SNXUSDT+ENSUSDT+ADAUSDT,190.88,16.14,1.821,367,111.62,19.33,1.51,382
SNXUSDT+ENSUSDT+1000PEPEUSDT,188.4,11.63,1.804,364,101.65,21.51,1.518,361
SNXUSDT+ENSUSDT+WLDUSDT,211.39,15.66,1.896,372,75.43,22.09,1.395,364
SNXUSDT+ENSUSDT+TONUSDT,233.54,11.9,1.981,365,92.8,15.32,1.493,344
SNXUSDT+DOTUSDT+AVAXUSDT,133.2,12.49,1.682,336,111.32,14.3,1.56,378
SNXUSDT+DOTUSDT+ARBUSDT,193.15,11.43,1.926,342,114.25,17.18,1.567,361
SNXUSDT+DOTUSDT+XRPUSDT,179.26,10.33,1.815,341,86.63,16.73,1.495,343
SNXUSDT+DOTUSDT+XLMUSDT,199.67,8.78,1.858,355,99.29,15.33,1.526,383
SNXUSDT+DOTUSDT+HBARUSDT,135.4,9.58,1.645,337,109.18,14.19,1.507,392
SNXUSDT+DOTUSDT+ETHUSDT,198.89,8.15,1.99,331,100.16,14.2,1.556,343
SNXUSDT+DOTUSDT+DOGEUSDT,180.59,14.18,1.795,350,99.53,16.39,1.531,355
SNXUSDT+DOTUSDT+BTCUSDT,127.95,10.54,1.582,335,72.02,19.5,1.411,354
SNXUSDT+DOTUSDT+BCHUSDT,172.72,8.88,1.91,328,123.13,17.16,1.686,361
SNXUSDT+DOTUSDT+ADAUSDT,160.21,10.11,1.76,347,125.57,16.45,1.568,381
SNXUSDT+DOTUSDT+1000PEPEUSDT,158.22,8.83,1.742,344,115.75,18.54,1.58,360
SNXUSDT+DOTUSDT+WLDUSDT,178.49,14.86,1.836,352,87.47,19.58,1.453,363
SNXUSDT+DOTUSDT+TONUSDT,197.94,10.0,1.926,345,105.97,13.64,1.558,343
SNXUSDT+AVAXUSDT+ARBUSDT,134.0,12.34,1.786,326,105.29,11.44,1.538,369
SNXUSDT+AVAXUSDT+XRPUSDT,122.77,12.33,1.682,325,79.54,13.7,1.464,351
SNXUSDT+AVAXUSDT+XLMUSDT,139.19,12.55,1.731,339,91.11,9.98,1.497,391
SNXUSDT+AVAXUSDT+HBARUSDT,88.21,10.63,1.511,321,100.94,13.3,1.483,400
SNXUSDT+AVAXUSDT+ETHUSDT,138.97,10.72,1.843,315,92.27,13.47,1.526,351
SNXUSDT+AVAXUSDT+DOGEUSDT,124.15,16.23,1.665,334,91.41,11.98,1.501,363
SNXUSDT+AVAXUSDT+BTCUSDT,82.3,11.3,1.455,319,65.54,23.86,1.383,362
SNXUSDT+AVAXUSDT+BCHUSDT,118.0,8.63,1.754,312,114.36,10.75,1.654,369
SNXUSDT+AVAXUSDT+ADAUSDT,107.94,11.63,1.622,331,117.07,16.59,1.544,389
SNXUSDT+AVAXUSDT+1000PEPEUSDT,106.16,12.11,1.606,328,107.15,16.29,1.553,368
SNXUSDT+AVAXUSDT+WLDUSDT,123.07,11.39,1.697,336,79.9,16.63,1.427,371
SNXUSDT+AVAXUSDT+TONUSDT,138.69,11.16,1.787,329,97.6,9.76,1.531,351
SNXUSDT+ARBUSDT+XRPUSDT,179.83,11.46,1.927,331,81.03,16.85,1.468,334
SNXUSDT+ARBUSDT+XLMUSDT,200.61,11.65,1.978,345,93.47,16.43,1.5,374
SNXUSDT+ARBUSDT+HBARUSDT,136.02,11.93,1.743,327,103.49,16.88,1.486,383
SNXUSDT+ARBUSDT+ETHUSDT,200.34,10.48,2.123,321,94.24,14.01,1.531,334
SNXUSDT+ARBUSDT+DOGEUSDT,181.72,15.04,1.907,340,93.73,14.32,1.506,346
SNXUSDT+ARBUSDT+BTCUSDT,128.38,14.73,1.666,325,67.02,26.21,1.388,345
SNXUSDT+ARBUSDT+BCHUSDT,173.14,8.5,2.037,318,117.21,15.89,1.66,352
SNXUSDT+ARBUSDT+ADAUSDT,161.33,9.23,1.868,337,119.39,18.19,1.546,372
SNXUSDT+ARBUSDT+1000PEPEUSDT,158.6,11.08,1.849,334,109.98,19.62,1.558,351
SNXUSDT+ARBUSDT+WLDUSDT,179.61,12.36,1.957,342,82.11,19.4,1.43,354
SNXUSDT+ARBUSDT+TONUSDT,199.19,8.33,2.054,335,99.69,13.8,1.534,334
SNXUSDT+XRPUSDT+XLMUSDT,185.8,10.5,1.862,344,68.59,13.95,1.419,356
SNXUSDT+XRPUSDT+HBARUSDT,124.99,9.64,1.646,326,77.45,16.48,1.417,365
SNXUSDT+XRPUSDT+ETHUSDT,185.99,9.48,1.99,320,69.65,14.79,1.45,316
SNXUSDT+XRPUSDT+DOGEUSDT,168.19,14.21,1.797,339,69.05,12.65,1.426,328
SNXUSDT+XRPUSDT+BTCUSDT,117.98,8.45,1.581,324,45.81,26.91,1.301,327
SNXUSDT+XRPUSDT+BCHUSDT,160.2,9.64,1.909,317,88.85,14.51,1.576,334
SNXUSDT+XRPUSDT+ADAUSDT,148.75,11.54,1.759,336,91.37,20.55,1.48,354
SNXUSDT+XRPUSDT+1000PEPEUSDT,146.6,9.33,1.746,333,82.71,19.9,1.484,333
SNXUSDT+XRPUSDT+WLDUSDT,167.06,13.36,1.841,341,59.13,20.72,1.355,336
SNXUSDT+XRPUSDT+TONUSDT,184.7,10.49,1.925,334,74.57,12.13,1.459,316
SNXUSDT+XLMUSDT+HBARUSDT,141.64,9.23,1.694,340,89.37,12.19,1.45,405
SNXUSDT+XLMUSDT+ETHUSDT,207.29,10.04,2.044,334,80.7,12.66,1.485,356
SNXUSDT+XLMUSDT+DOGEUSDT,188.37,12.1,1.842,353,80.22,13.67,1.459,368
SNXUSDT+XLMUSDT+BTCUSDT,133.77,8.62,1.627,338,55.65,17.14,1.342,367
SNXUSDT+XLMUSDT+BCHUSDT,179.65,9.66,1.966,331,101.51,14.53,1.606,374
SNXUSDT+XLMUSDT+ADAUSDT,166.8,9.51,1.808,350,104.42,16.47,1.512,394
SNXUSDT+XLMUSDT+1000PEPEUSDT,165.12,9.09,1.793,347,95.14,16.21,1.516,373
SNXUSDT+XLMUSDT+WLDUSDT,186.5,11.45,1.893,355,69.47,16.6,1.389,376
SNXUSDT+XLMUSDT+TONUSDT,206.14,8.21,1.98,348,86.2,11.46,1.493,356
SNXUSDT+HBARUSDT+ETHUSDT,141.77,9.29,1.801,316,89.93,14.59,1.474,365
SNXUSDT+HBARUSDT+DOGEUSDT,127.01,13.33,1.634,335,89.28,13.02,1.452,377
SNXUSDT+HBARUSDT+BTCUSDT,83.94,11.3,1.434,320,63.7,28.41,1.345,376
SNXUSDT+HBARUSDT+BCHUSDT,119.83,9.5,1.715,313,112.03,11.81,1.591,383
SNXUSDT+HBARUSDT+ADAUSDT,110.23,9.93,1.592,332,114.41,20.52,1.492,403
SNXUSDT+HBARUSDT+1000PEPEUSDT,108.69,10.46,1.577,329,105.06,17.59,1.5,382
SNXUSDT+HBARUSDT+WLDUSDT,125.03,12.43,1.658,337,77.94,19.1,1.385,385
SNXUSDT+HBARUSDT+TONUSDT,140.41,10.46,1.744,330,95.44,16.06,1.477,365
SNXUSDT+ETHUSDT+DOGEUSDT,188.03,12.96,1.968,329,81.16,14.1,1.491,328
SNXUSDT+ETHUSDT+BTCUSDT,133.14,10.7,1.714,314,56.38,21.32,1.364,327
SNXUSDT+ETHUSDT+BCHUSDT,179.39,7.79,2.114,307,102.71,11.93,1.651,334
SNXUSDT+ETHUSDT+ADAUSDT,166.75,8.81,1.925,326,105.2,15.02,1.54,354
SNXUSDT+ETHUSDT+1000PEPEUSDT,164.81,8.43,1.913,323,96.1,17.9,1.55,333
SNXUSDT+ETHUSDT+WLDUSDT,186.13,13.14,2.026,331,70.39,17.7,1.413,336
SNXUSDT+ETHUSDT+TONUSDT,206.09,11.06,2.127,324,87.12,9.47,1.523,316
SNXUSDT+DOGEUSDT+BTCUSDT,119.31,14.39,1.567,333,55.97,19.51,1.345,339
SNXUSDT+DOGEUSDT+BCHUSDT,162.42,9.4,1.891,326,102.08,12.48,1.616,346
SNXUSDT+DOGEUSDT+ADAUSDT,150.4,13.46,1.742,345,104.41,14.88,1.515,366
SNXUSDT+DOGEUSDT+1000PEPEUSDT,147.91,13.51,1.725,342,95.4,15.82,1.523,345
SNXUSDT+DOGEUSDT+WLDUSDT,168.61,12.35,1.824,350,70.15,15.78,1.393,348
SNXUSDT+DOGEUSDT+TONUSDT,187.24,12.34,1.91,343,86.98,10.62,1.498,328
SNXUSDT+BTCUSDT+BCHUSDT,113.35,12.26,1.638,311,74.14,16.17,1.48,345
SNXUSDT+BTCUSDT+ADAUSDT,103.56,9.29,1.53,330,76.69,22.82,1.405,365
SNXUSDT+BTCUSDT+1000PEPEUSDT,102.41,11.81,1.514,327,68.45,28.68,1.401,344
SNXUSDT+BTCUSDT+WLDUSDT,118.96,8.53,1.594,335,46.74,29.73,1.283,347
SNXUSDT+BTCUSDT+TONUSDT,133.62,8.75,1.671,328,61.16,21.08,1.375,327
SNXUSDT+BCHUSDT+ADAUSDT,143.21,9.78,1.843,323,128.58,17.54,1.663,372
SNXUSDT+BCHUSDT+1000PEPEUSDT,141.84,12.44,1.829,320,118.94,15.32,1.679,351
SNXUSDT+BCHUSDT+WLDUSDT,161.56,12.63,1.933,328,90.26,14.18,1.53,354
SNXUSDT+BCHUSDT+TONUSDT,179.18,10.31,2.036,321,108.56,10.88,1.656,334
SNXUSDT+ADAUSDT+1000PEPEUSDT,130.63,8.94,1.689,339,121.35,18.8,1.562,371
SNXUSDT+ADAUSDT+WLDUSDT,149.72,13.17,1.781,347,92.61,18.29,1.443,374
SNXUSDT+ADAUSDT+TONUSDT,166.42,9.66,1.867,340,111.27,16.48,1.542,354
SNXUSDT+1000PEPEUSDT+WLDUSDT,147.85,10.01,1.765,344,83.75,22.1,1.445,353
SNXUSDT+1000PEPEUSDT+TONUSDT,165.03,8.55,1.857,337,101.51,12.93,1.55,333
SNXUSDT+WLDUSDT+TONUSDT,186.68,15.88,1.953,345,75.54,14.36,1.419,336
ENSUSDT+DOTUSDT+AVAXUSDT,153.31,10.13,1.647,367,93.0,13.07,1.554,357
ENSUSDT+DOTUSDT+ARBUSDT,217.36,11.72,1.851,373,95.18,17.41,1.564,340
ENSUSDT+DOTUSDT+XRPUSDT,202.79,13.06,1.756,372,70.37,18.56,1.477,322
ENSUSDT+DOTUSDT+XLMUSDT,226.39,10.3,1.798,386,81.97,15.69,1.511,362
ENSUSDT+DOTUSDT+HBARUSDT,155.77,11.35,1.613,368,90.75,14.37,1.499,371
ENSUSDT+DOTUSDT+ETHUSDT,224.0,11.07,1.904,362,82.22,15.03,1.545,322
ENSUSDT+DOTUSDT+DOGEUSDT,204.44,11.37,1.742,381,81.77,13.18,1.519,334
ENSUSDT+DOTUSDT+BTCUSDT,145.99,11.68,1.558,366,56.89,23.54,1.385,333
ENSUSDT+DOTUSDT+BCHUSDT,194.94,12.39,1.844,359,103.12,14.94,1.684,340
ENSUSDT+DOTUSDT+ADAUSDT,181.39,14.03,1.713,378,105.86,17.12,1.568,360
ENSUSDT+DOTUSDT+1000PEPEUSDT,178.18,8.44,1.7,375,96.49,21.93,1.579,339
ENSUSDT+DOTUSDT+WLDUSDT,200.67,14.68,1.779,383,70.57,20.32,1.436,342
ENSUSDT+DOTUSDT+TONUSDT,221.7,11.6,1.852,376,87.52,14.34,1.551,322
ENSUSDT+AVAXUSDT+ARBUSDT,152.56,12.65,1.735,357,87.31,15.77,1.53,348
ENSUSDT+AVAXUSDT+XRPUSDT,140.84,18.46,1.644,356,63.92,15.84,1.441,330
ENSUSDT+AVAXUSDT+XLMUSDT,159.61,12.77,1.69,370,74.55,12.02,1.477,370
ENSUSDT+AVAXUSDT+HBARUSDT,103.71,14.26,1.499,352,83.27,15.76,1.47,379
ENSUSDT+AVAXUSDT+ETHUSDT,158.3,18.02,1.783,346,75.23,15.14,1.509,330
ENSUSDT+AVAXUSDT+DOGEUSDT,142.47,15.21,1.633,365,74.58,13.97,1.484,342
ENSUSDT+AVAXUSDT+BTCUSDT,96.25,12.36,1.449,350,50.97,23.39,1.352,341
ENSUSDT+AVAXUSDT+BCHUSDT,135.18,16.02,1.715,343,95.44,9.4,1.646,348
ENSUSDT+AVAXUSDT+ADAUSDT,124.23,18.85,1.596,362,98.24,12.44,1.539,368
ENSUSDT+AVAXUSDT+1000PEPEUSDT,121.72,14.56,1.584,359,88.96,20.67,1.547,347
ENSUSDT+AVAXUSDT+WLDUSDT,140.26,15.57,1.662,367,63.85,19.16,1.405,350
ENSUSDT+AVAXUSDT+TONUSDT,157.19,14.23,1.737,360,80.12,13.38,1.518,330
ENSUSDT+ARBUSDT+XRPUSDT,201.78,17.48,1.848,362,65.11,19.2,1.447,313
ENSUSDT+ARBUSDT+XLMUSDT,225.54,13.62,1.896,376,76.49,16.67,1.482,353
ENSUSDT+ARBUSDT+HBARUSDT,154.8,12.98,1.697,358,85.38,16.79,1.475,362
ENSUSDT+ARBUSDT+ETHUSDT,223.79,14.31,2.011,352,76.59,14.58,1.516,313
ENSUSDT+ARBUSDT+DOGEUSDT,204.01,16.92,1.834,371,76.26,14.34,1.491,325
ENSUSDT+ARBUSDT+BTCUSDT,145.67,13.21,1.63,356,52.18,24.45,1.359,324
ENSUSDT+ARBUSDT+BCHUSDT,194.46,13.9,1.949,349,97.13,16.14,1.655,331
ENSUSDT+ARBUSDT+ADAUSDT,181.15,15.64,1.802,368,100.03,18.12,1.543,351
ENSUSDT+ARBUSDT+1000PEPEUSDT,177.72,13.63,1.789,365,90.66,24.12,1.554,330
ENSUSDT+ARBUSDT+WLDUSDT,200.95,14.73,1.88,373,65.25,23.19,1.41,333
ENSUSDT+ARBUSDT+TONUSDT,222.07,10.42,1.957,366,81.56,16.84,1.524,313
ENSUSDT+XRPUSDT+XLMUSDT,209.99,16.8,1.796,375,53.93,15.4,1.386,335
ENSUSDT+XRPUSDT+HBARUSDT,143.28,18.27,1.613,357,61.8,16.76,1.392,344
ENSUSDT+XRPUSDT+ETHUSDT,209.64,21.49,1.9,351,54.52,15.73,1.419,295
ENSUSDT+XRPUSDT+DOGEUSDT,190.6,19.64,1.74,370,54.07,14.06,1.395,307
ENSUSDT+XRPUSDT+BTCUSDT,134.96,16.6,1.556,355,32.9,26.51,1.256,306
ENSUSDT+XRPUSDT+BCHUSDT,181.06,19.54,1.84,348,72.12,14.16,1.555,313
