label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf
perpair,BCH+ETH+VET,0.45,2,93.9,6.16,1.93,4.27,356,59.3,6.02,1.68
perpair,BNB+DOGE+SNX,0.45,3,93.9,5.96,1.78,3.76,364,50.9,7.62,1.48
default,BCH+BNB+TON,0.5,3,93.8,7.49,1.82,3.78,331,49.8,7.48,1.60
thr06,APT+DOGE+XRP,0.45,3,93.7,6.88,1.72,3.83,399,44.5,7.71,1.43
default,BNB+ETH+TON,0.45,2,93.7,7.24,1.96,4.27,320,33.7,7.45,1.48
perpair,ADA+BNB+ETH,0.45,2,93.7,7.15,1.89,4.03,319,52.0,6.85,1.62
default,ADA+APT+LTC,0.5,3,93.6,6.74,1.75,3.66,359,77.0,7.13,1.63
rr28,APT+DOGE+ETH,0.5,2,93.5,6.6,1.92,4.18,313,59.9,7.77,1.70
perpair,APT+BNB+ENS,0.45,3,93.5,5.02,1.85,4.01,331,47.3,7.9,1.60
default,APT+DOGE+XRP,0.5,3,93.5,7.83,1.74,3.72,346,55.0,6.99,1.60
perpair,1000PEPE+LTC+TON,0.5,3,93.4,7.97,1.82,3.9,335,53.9,6.86,1.54
rr28,APT+ETH+HBAR,0.55,2,93.4,7.55,1.81,3.96,315,62.5,7.89,1.58
rr28,BNB+SNX+TON,0.5,2,93.4,6.98,1.81,4.04,343,52.1,7.78,1.53
rr28,APT+BCH+BNB,0.5,2,93.4,7.43,1.86,4.26,332,65.5,6.62,1.72
thr06,APT+DOGE+TON,0.45,3,93.3,6.56,1.72,3.95,407,57.2,7.9,1.55
thr06,APT+BCH+WLD,0.45,3,93.3,6.98,1.81,4.04,390,64.0,6.91,1.61
rr28,ADA+LTC+TON,0.45,3,93.3,5.09,1.88,4.41,363,46.7,6.44,1.52
rr28,ADA+BNB+TON,0.5,3,93.3,6.63,1.75,3.91,359,49.2,7.77,1.53
rr28,ADA+APT+LTC,0.45,3,93.3,4.89,1.87,4.17,365,59.5,6.59,1.59
rr28,SNX+TON+XRP,0.5,2,93.2,6.42,1.84,4.12,331,55.1,7.53,1.58
perpair,DOGE+HBAR+XRP,0.55,2,93.2,7.82,1.62,3.37,342,60.9,6.71,1.49
rr28,APT+BNB+TON,0.45,3,93.2,7.46,1.86,4.28,361,46.2,7.32,1.59
rr28,APT+ETH+SNX,0.45,2,93.0,5.57,2.06,4.52,319,59.6,6.91,1.67
perpair,BCH+DOGE+VET,0.5,2,93.0,6.86,1.78,3.68,375,57.0,7.25,1.56
perpair,ETH+HBAR+VET,0.5,2,92.9,6.28,1.76,3.88,349,57.3,7.72,1.53
rr28,BNB+ETH+SNX,0.5,2,92.9,6.34,1.85,4.0,324,52.2,7.94,1.54
rr28,ADA+HBAR+LTC,0.55,2,92.9,7.47,1.71,3.81,338,67.5,7.9,1.52
rr40_sb20,APT+SNX+TON,0.45,3,92.9,7.89,1.82,3.8,341,76.8,7.76,1.60
default,APT+DOGE+XRP,0.5,2,92.8,7.21,1.75,3.89,333,55.1,6.58,1.63
rr28,APT+DOGE+XRP,0.5,2,92.7,6.81,1.80,3.96,336,54.3,6.44,1.63
thr06,DOGE+ETH+TON,0.45,2,92.7,7.05,1.83,4.04,359,47.9,6.66,1.54
thr06,1000PEPE+BCH+TON,0.45,3,92.7,7.21,1.82,4.05,376,64.3,6.43,1.67
rr28,BCH+BNB+SNX,0.5,2,92.7,7.57,1.88,4.05,325,66.3,7.37,1.67
thr06,APT+BCH+TON,0.45,2,92.6,6.66,1.84,4.24,363,74.7,6.92,1.77
thr06,APT+ETH+VET,0.45,3,92.6,6.15,1.75,3.78,411,57.6,7.67,1.55
rr28,ETH+LTC+VET,0.45,3,92.6,6.43,1.89,4.38,370,37.2,7.1,1.46
default,BCH+ETH+VET,0.55,2,92.5,7.09,1.82,3.64,326,60.1,6.94,1.66
rr28,DOGE+SNX+TON,0.45,2,92.5,7.22,1.96,4.47,333,54.6,6.93,1.62
perpair,ETH+HBAR+SNX,0.45,3,92.4,6.51,1.80,4.02,353,66.0,7.82,1.54
rr40_sb20,APT+BNB+XRP,0.45,2,92.3,7.23,1.75,3.55,337,58.4,6.58,1.63
default,BCH+ETH+SNX,0.45,2,92.3,5.07,2.10,4.37,300,61.1,7.32,1.74
rr28,APT+BNB+DOGE,0.45,3,92.1,5.77,1.82,3.99,364,47.5,6.32,1.58
rr28,DOGE+ETH+LTC,0.45,2,92.1,4.27,1.98,4.46,329,36.7,7.79,1.50
default,1000PEPE+ETH+TON,0.45,2,92.1,4.13,2.03,4.17,310,43.4,7.86,1.60
thr06,1000PEPE+SNX+TON,0.45,3,91.9,7.74,1.75,4.04,388,66.3,6.15,1.56
thr06,DOGE+TON+XRP,0.45,2,91.9,6.09,1.76,3.86,372,38.0,7.42,1.41
perpair,ADA+APT+BNB,0.5,2,91.9,5.19,1.83,3.78,320,62.7,7.26,1.65
perpair,APT+BCH+WLD,0.45,2,91.8,6.99,1.90,4.32,361,64.4,6.44,1.67
rr28,ADA+ETH+TON,0.5,2,91.8,6.44,1.89,4.2,321,48.3,7.44,1.55
rr28,1000PEPE+APT+TON,0.5,2,91.8,6.84,1.86,4.16,328,65.5,6.2,1.71
default,DOGE+ETH+TON,0.45,2,91.8,4.62,2.02,4.25,310,40.8,6.56,1.58
perpair,ENS+ETH+VET,0.45,2,91.8,7.82,1.84,3.93,342,49.7,7.65,1.60
rr28,ADA+APT+BNB,0.5,2,91.8,5.77,1.81,3.76,340,63.1,7.5,1.63
perpair,DOGE+ETH+HBAR,0.45,3,91.8,6.32,1.76,3.81,365,51.9,6.26,1.50
rr28,BCH+DOGE+TON,0.45,2,91.7,5.81,2.00,4.51,325,50.1,6.04,1.71
rr28,APT+BCH+TON,0.45,3,91.7,7.31,1.98,4.5,334,63.8,6.32,1.80
rr28,BCH+DOGE+HBAR,0.55,2,91.6,7.26,1.76,3.94,318,72.4,5.76,1.67
rr28,ETH+HBAR+LTC,0.5,3,91.5,6.69,1.81,4.13,338,43.7,6.42,1.43
perpair,1000PEPE+BCH+TON,0.45,2,91.5,5.12,1.93,4.21,343,58.5,6.0,1.67
rr28,BCH+ETH+VET,0.5,3,91.5,5.8,1.88,4.2,339,57.4,5.91,1.67
rr40_sb20,BCH+ETH+VET,0.45,2,91.5,6.71,1.91,3.73,329,54.0,7.28,1.65
rr28,APT+ENS+HBAR,0.45,2,91.5,6.45,1.84,4.06,356,51.7,7.69,1.55
thr06,1000PEPE+BCH+DOGE,0.45,3,91.3,7.22,1.80,3.66,383,61.7,7.74,1.61
perpair,1000PEPE+BCH+DOGE,0.45,3,91.3,7.22,1.80,3.66,383,61.7,7.74,1.61
perpair,BNB+DOGE+ENS,0.45,3,91.3,6.05,1.74,3.62,351,37.0,7.46,1.45
rr28,DOGE+HBAR+LTC,0.5,3,91.3,6.62,1.73,3.9,357,47.8,7.42,1.45
rr28,BNB+SNX+TON,0.45,3,91.3,6.3,1.87,4.25,353,47.6,7.02,1.54
rr28,BCH+DOGE+VET,0.5,3,91.2,7.11,1.79,3.9,358,61.9,6.75,1.69
rr28,APT+BNB+ETH,0.45,3,91.2,5.19,1.90,3.99,345,43.8,7.61,1.56
rr40_sb20,1000PEPE+APT+BCH,0.5,2,91.1,7.05,1.80,3.4,319,83.9,7.81,1.79
perpair,ETH+HBAR+TON,0.45,2,91.1,7.73,1.87,4.19,325,48.7,6.17,1.53
rr28,ENS+ETH+HBAR,0.45,2,91.0,7.33,1.90,4.16,340,36.1,6.06,1.45
perpair,1000PEPE+ADA+DOGE,0.5,3,91.0,7.53,1.67,3.22,385,66.0,7.31,1.54
rr28,DOGE+TON+XRP,0.5,2,91.0,6.1,1.81,3.9,332,43.5,5.82,1.57
rr28,ETH+TON+VET,0.5,2,90.9,5.14,1.88,4.24,339,45.1,6.85,1.57
rr28,ADA+APT+LTC,0.45,2,90.9,4.89,1.94,4.23,343,58.1,7.74,1.61
thr06,ETH+HBAR+SNX,0.5,3,90.8,7.82,1.63,3.46,382,67.4,7.43,1.46
default,1000PEPE+APT+TON,0.5,3,90.7,6.66,1.77,3.78,344,75.6,7.3,1.76
default,APT+LTC+XRP,0.45,2,90.7,5.7,1.85,4.12,341,52.0,7.8,1.62
rr28,BCH+LTC+WLD,0.45,3,90.6,6.75,1.91,4.46,350,40.7,6.66,1.49
perpair,APT+BCH+VET,0.45,3,90.6,4.95,1.88,4.2,374,67.9,7.9,1.72
rr28,DOGE+LTC+XRP,0.5,2,90.6,6.5,1.76,3.85,345,39.2,6.72,1.47
rr28,ETH+SNX+XRP,0.5,2,90.6,7.03,1.88,4.06,312,51.8,7.6,1.57
default,DOGE+ETH+LTC,0.45,2,90.6,6.71,1.92,4.03,323,38.4,7.47,1.49
rr28,BCH+BNB+TON,0.5,2,90.4,6.78,1.82,4.05,330,50.4,7.83,1.63
rr28,ADA+ETH+LTC,0.45,3,90.4,5.69,1.91,4.27,347,44.2,5.87,1.50
perpair,BNB+ETH+HBAR,0.45,3,90.4,7.87,1.83,4.07,324,45.9,7.5,1.51
thr06,ADA+APT+BCH,0.5,3,90.3,7.25,1.68,3.54,382,89.7,7.74,1.69
rr40_sb20,APT+DOGE+XRP,0.45,2,90.3,6.98,1.77,3.66,333,55.0,6.6,1.60
thr06,1000PEPE+DOGE+TON,0.45,3,90.3,5.53,1.71,3.72,400,52.0,7.66,1.52
rr28,BNB+ETH+TON,0.45,3,90.3,5.66,1.90,4.19,343,32.2,5.88,1.47
thr06,APT+DOGE+XRP,0.45,2,90.3,5.83,1.75,3.97,376,46.2,7.22,1.47
rr28,ADA+DOGE+LTC,0.45,3,90.2,5.23,1.82,4.13,366,47.9,6.92,1.52
default,APT+DOGE+ETH,0.45,3,90.2,5.71,1.88,3.88,336,54.9,7.51,1.67
default,1000PEPE+BCH+ETH,0.5,2,90.1,7.54,1.95,3.83,300,65.3,7.59,1.81
default,APT+LTC+WLD,0.45,3,90.1,7.39,1.81,3.9,364,48.1,7.58,1.50
rr28,BNB+DOGE+TON,0.45,3,90.1,5.6,1.82,4.05,362,35.5,7.75,1.50
default,DOGE+TON+XRP,0.45,2,90.1,5.25,1.87,4.0,327,34.0,6.2,1.48
thr06,LTC+TON+XRP,0.45,2,90.0,7.15,1.74,3.92,380,32.9,7.6,1.36
rr28,ETH+LTC+WLD,0.45,2,90.0,5.85,1.95,4.43,341,24.9,7.36,1.33
rr28,APT+BNB+XRP,0.5,2,90.0,6.53,1.77,3.8,342,50.0,7.85,1.57
thr06,BCH+DOGE+XRP,0.45,2,90.0,7.63,1.80,3.81,362,44.4,6.77,1.48
rr28,BCH+SNX+TON,0.45,3,89.9,6.32,1.98,4.4,326,65.3,7.31,1.74
rr28,1000PEPE+APT+TON,0.5,3,89.8,6.84,1.79,3.95,349,68.5,6.69,1.72
rr28,APT+DOGE+TON,0.45,2,89.8,5.82,1.95,4.34,332,51.8,6.56,1.68
rr28,LTC+TON+XRP,0.45,3,89.8,6.27,1.84,4.18,356,34.2,5.62,1.45
rr28,APT+BCH+SNX,0.45,3,89.8,5.67,1.98,4.42,328,79.8,6.91,1.80
rr28,BCH+BNB+LTC,0.45,3,89.8,5.87,1.86,4.23,352,43.7,7.37,1.54
perpair,ADA+BNB+TON,0.45,3,89.8,5.55,1.88,4.16,326,43.4,7.81,1.54
perpair,1000PEPE+BNB+TON,0.45,2,89.8,5.23,1.89,4.02,326,40.7,6.99,1.53
perpair,ENS+ETH+HBAR,0.45,3,89.8,7.86,1.76,3.86,340,50.7,6.17,1.53
rr28,APT+BCH+ETH,0.45,2,89.7,6.13,2.07,4.68,311,62.9,6.23,1.85
default,BCH+DOGE+HBAR,0.6,2,89.7,7.89,1.65,3.43,314,71.0,6.62,1.60
thr06,APT+BCH+BNB,0.45,3,89.7,6.97,1.76,3.85,387,61.6,6.99,1.60
thr06,APT+DOGE+TON,0.45,2,89.7,6.06,1.76,3.95,378,57.4,7.33,1.57
perpair,LTC+TON+XRP,0.45,2,89.7,6.13,1.91,4.01,309,42.9,5.2,1.56
rr28,ADA+DOGE+LTC,0.45,2,89.6,5.66,1.89,4.4,339,45.9,7.47,1.52
perpair,BNB+DOGE+VET,0.5,2,89.5,5.77,1.73,3.64,356,45.2,7.74,1.47
rr28,BNB+TON+XRP,0.5,3,89.5,7.32,1.73,3.72,352,35.2,7.33,1.45
perpair,APT+BNB+WLD,0.45,2,89.5,5.89,1.85,4.27,342,45.0,7.05,1.54
default,APT+ETH+XRP,0.45,2,89.4,5.81,1.94,3.98,316,47.6,7.39,1.65
rr28,DOGE+HBAR+LTC,0.5,2,89.3,6.49,1.76,3.96,336,46.9,6.88,1.46
rr28,APT+BCH+TON,0.45,2,89.2,6.75,2.00,4.51,319,63.5,6.32,1.83
perpair,ETH+LTC+VET,0.45,3,89.2,7.67,1.84,3.83,353,50.9,6.12,1.56
rr28,APT+BCH+ETH,0.45,3,89.2,6.13,2.03,4.56,318,61.1,6.25,1.78
default,BCH+DOGE+XRP,0.5,3,89.1,7.72,1.77,3.72,326,44.8,7.79,1.55
thr06,ETH+TON+VET,0.45,2,89.1,6.1,1.80,4.05,377,49.5,6.62,1.55
default,APT+TON+XRP,0.45,2,89.1,5.37,1.91,4.09,325,52.9,6.95,1.69
rr40_sb20,APT+BCH+DOGE,0.5,3,89.1,7.88,1.72,3.28,336,76.7,7.96,1.68
rr28,BCH+DOGE+VET,0.5,2,89.1,5.87,1.83,4.02,345,52.8,5.9,1.62
default,APT+DOGE+TON,0.45,3,88.9,5.48,1.82,4.12,350,57.8,6.74,1.69
perpair,LTC+TON+XRP,0.45,3,88.9,6.13,1.87,3.83,318,41.4,5.2,1.52
rr28,ADA+DOGE+ETH,0.5,2,88.9,7.16,1.85,3.93,311,50.4,7.37,1.58
rr28,APT+BCH+DOGE,0.45,3,88.9,5.07,1.93,4.34,337,65.3,5.81,1.80
rr28,BCH+DOGE+TON,0.45,3,88.9,5.81,1.93,4.32,335,51.8,6.04,1.72
default,APT+ETH+XRP,0.45,3,88.9,6.32,1.90,3.85,327,48.7,7.39,1.63
rr28,ADA+BCH+DOGE,0.5,3,88.8,7.65,1.80,3.91,335,70.7,7.31,1.73
perpair,DOGE+ETH+LTC,0.45,2,88.7,7.14,1.85,3.67,326,53.0,6.02,1.59
perpair,APT+BNB+DOGE,0.45,2,88.7,5.25,1.85,3.89,338,49.6,6.76,1.57
rr28,APT+BNB+TON,0.45,2,88.7,6.6,1.87,4.25,349,44.8,6.86,1.58
thr06,APT+BNB+VET,0.5,2,88.7,7.91,1.65,3.32,398,58.8,7.98,1.53
perpair,ETH+LTC+SNX,0.45,2,88.7,7.72,1.89,3.94,318,64.0,6.12,1.60
default,APT+BNB+XRP,0.5,2,88.7,6.89,1.73,3.63,333,51.5,7.03,1.58
rr28,BNB+ETH+SNX,0.45,3,88.6,6.22,1.90,4.02,337,45.2,7.77,1.53
rr28,HBAR+LTC+TON,0.5,2,88.5,6.9,1.77,3.91,341,46.4,7.46,1.46
perpair,DOGE+HBAR+XRP,0.5,3,88.5,7.13,1.64,3.4,359,51.3,7.53,1.45
rr28,BCH+TON+VET,0.5,2,88.5,6.51,1.83,4.11,341,58.8,5.7,1.69
perpair,APT+LTC+TON,0.45,2,88.5,4.95,2.02,4.5,304,55.0,6.68,1.68
perpair,BCH+DOGE+VET,0.45,3,88.5,6.43,1.78,3.7,394,56.2,7.85,1.58
thr06,APT+BCH+WLD,0.45,2,88.4,6.98,1.81,3.98,377,66.1,6.41,1.66
perpair,ADA+APT+BCH,0.45,3,88.3,5.9,1.89,4.07,351,76.2,7.58,1.75
rr28,BCH+ETH+HBAR,0.55,2,88.3,7.44,1.80,4.0,303,67.4,6.56,1.67
rr28,SNX+TON+VET,0.45,3,88.3,7.2,1.85,4.12,368,55.1,7.03,1.59
default,APT+DOGE+TON,0.45,2,88.3,5.48,1.90,4.21,324,59.4,6.19,1.73
default,DOGE+TON+XRP,0.45,3,88.2,6.58,1.81,3.84,343,32.5,6.2,1.45
perpair,ENS+ETH+HBAR,0.45,2,88.2,7.91,1.78,3.85,329,50.8,5.61,1.57
perpair,APT+LTC+TON,0.45,3,88.2,5.47,1.93,4.33,325,52.5,6.82,1.61
default,BCH+DOGE+XRP,0.5,2,88.1,7.72,1.79,3.73,320,45.3,7.8,1.57
rr28,ADA+APT+TON,0.45,3,88.0,5.98,1.87,4.14,353,61.4,6.7,1.68
thr06,BCH+DOGE+VET,0.45,3,88.0,7.72,1.73,3.53,410,57.3,7.14,1.55
rr28,APT+DOGE+HBAR,0.5,2,88.0,7.86,1.78,4.0,327,65.2,5.74,1.63
rr28,DOGE+ETH+TON,0.45,2,87.9,6.04,2.01,4.31,316,40.6,6.21,1.62
perpair,BCH+LTC+VET,0.55,2,87.9,6.69,1.77,3.58,337,71.8,7.59,1.65
rr28,BCH+ETH+VET,0.5,2,87.9,5.28,1.88,4.22,331,55.1,6.51,1.67
perpair,ETH+HBAR+LTC,0.5,3,87.8,7.03,1.76,3.73,321,59.4,6.22,1.53
perpair,BCH+LTC+TON,0.45,3,87.8,6.15,1.95,4.21,321,53.1,7.64,1.62
thr06,BCH+ETH+VET,0.45,2,87.8,5.9,1.84,3.89,373,56.1,7.05,1.62
rr28,ADA+ETH+LTC,0.45,2,87.7,5.34,1.93,4.36,332,40.0,5.13,1.50
default,APT+TON+XRP,0.45,3,87.7,5.57,1.83,3.92,341,51.4,7.42,1.65
default,APT+BCH+TON,0.45,2,87.6,6.16,1.98,4.17,311,73.1,5.84,1.94
rr28,BCH+ETH+HBAR,0.55,3,87.6,7.44,1.78,3.97,307,66.5,6.56,1.63
rr28,ADA+BCH+DOGE,0.5,2,87.5,7.65,1.84,4.02,324,66.2,7.31,1.74
rr28,ETH+TON+VET,0.45,3,87.5,4.68,1.89,4.41,358,39.0,6.32,1.54
perpair,APT+DOGE+HBAR,0.5,2,87.5,6.68,1.71,3.77,344,67.0,6.66,1.58
perpair,BCH+BNB+VET,0.45,3,87.5,5.4,1.85,4.05,353,49.8,7.46,1.60
perpair,ETH+LTC+VET,0.5,2,87.5,7.46,1.80,3.59,332,55.0,6.45,1.57
default,ADA+APT+BNB,0.55,2,87.4,7.03,1.67,3.21,330,82.1,7.83,1.68
rr28,BCH+DOGE+SNX,0.45,2,87.4,6.31,1.97,4.43,322,65.2,7.55,1.76
rr28,BCH+DOGE+HBAR,0.55,3,87.4,7.26,1.70,3.78,326,71.5,6.02,1.64
thr06,1000PEPE+BCH+TON,0.45,2,87.3,7.21,1.82,4.01,359,62.4,5.98,1.67
rr40_sb20,APT+SNX+TON,0.45,2,87.2,7.89,1.82,3.76,321,75.1,7.37,1.60
rr28,BCH+ETH+SNX,0.45,3,87.2,5.23,2.03,4.5,310,62.7,7.56,1.73
rr28,BCH+LTC+VET,0.45,3,87.2,5.5,1.85,4.23,367,51.1,6.93,1.59
default,1000PEPE+BCH+TON,0.5,3,87.1,7.3,1.81,3.74,324,64.1,7.69,1.74
default,ADA+APT+ETH,0.5,2,87.1,6.58,1.86,3.6,309,74.8,7.56,1.75
rr28,BCH+VET+WLD,0.5,3,87.1,6.03,1.77,3.93,361,51.0,7.97,1.55
perpair,BCH+DOGE+HBAR,0.5,2,87.1,7.28,1.73,3.66,348,66.5,6.2,1.58
default,1000PEPE+ETH+TON,0.45,3,87.0,4.73,1.90,3.94,327,45.6,7.65,1.61
default,1000PEPE+DOGE+TON,0.45,2,87.0,4.61,1.89,4.03,322,45.2,7.0,1.59
rr40_sb20,APT+DOGE+TON,0.45,2,87.0,7.58,1.78,3.49,331,58.0,6.67,1.60
rr28,BCH+LTC+WLD,0.45,2,87.0,6.75,1.90,4.49,342,39.6,6.67,1.50
perpair,ADA+ETH+LTC,0.45,3,86.9,7.41,1.85,3.76,330,58.6,5.95,1.60
perpair,BCH+DOGE+HBAR,0.5,3,86.9,7.78,1.70,3.51,362,65.5,7.51,1.55
rr28,ETH+LTC+XRP,0.45,3,86.9,5.94,1.88,4.15,340,32.0,7.97,1.43
perpair,APT+VET+WLD,0.45,3,86.9,7.79,1.76,3.88,398,52.5,7.96,1.54
rr28,SNX+TON+VET,0.5,2,86.9,6.58,1.79,3.95,348,63.5,7.91,1.61
rr40_sb20,BCH+BNB+TON,0.45,3,86.9,7.73,1.73,3.32,338,53.4,7.7,1.62
rr28,APT+ETH+HBAR,0.5,3,86.9,6.88,1.80,3.98,328,59.9,7.18,1.58
rr28,1000PEPE+ETH+TON,0.5,3,86.8,5.68,1.82,3.85,331,50.7,7.06,1.62
rr28,HBAR+SNX+TON,0.5,3,86.8,6.16,1.76,3.86,336,64.4,7.81,1.55
default,ADA+DOGE+ETH,0.5,2,86.8,6.98,1.80,3.54,308,51.1,7.23,1.56
thr06,ADA+APT+BCH,0.5,2,86.8,7.96,1.71,3.57,359,94.0,7.74,1.75
rr28,DOGE+LTC+XRP,0.45,3,86.8,5.87,1.79,3.98,359,35.4,6.21,1.45
rr28,BNB+TON+XRP,0.5,2,86.7,6.77,1.75,3.75,343,35.3,6.8,1.46
rr28,1000PEPE+DOGE+TON,0.5,2,86.7,5.11,1.81,3.93,328,56.1,7.25,1.66
rr28,DOGE+ETH+HBAR,0.55,2,86.7,6.55,1.73,3.78,313,50.4,7.02,1.50
rr28,BNB+ETH+TON,0.45,2,86.6,5.66,1.92,4.22,330,33.2,5.88,1.50
rr28,BCH+BNB+VET,0.5,3,86.6,5.99,1.73,3.79,363,54.5,6.46,1.60
perpair,ADA+APT+DOGE,0.45,3,86.6,5.84,1.76,3.58,375,63.1,7.93,1.61
rr28,DOGE+HBAR+XRP,0.6,2,86.6,7.83,1.57,3.39,328,60.0,7.16,1.51
perpair,LTC+SNX+TON,0.45,3,86.6,6.17,1.85,3.89,333,55.2,7.88,1.52
rr28,ADA+LTC+TON,0.45,2,86.6,5.99,1.86,4.22,347,44.4,7.23,1.52
rr28,APT+DOGE+HBAR,0.5,3,86.5,7.86,1.72,3.76,347,64.4,7.15,1.60
rr28,APT+BNB+ETH,0.45,2,86.5,4.74,1.92,4.02,330,41.3,7.06,1.55
rr28,1000PEPE+DOGE+TON,0.5,3,86.5,7.27,1.74,3.7,350,54.9,7.6,1.64
rr28,ADA+BNB+TON,0.5,2,86.4,6.64,1.75,3.86,346,49.3,7.64,1.55
rr40_sb20,1000PEPE+APT+TON,0.45,2,86.4,7.44,1.78,3.59,332,58.4,7.23,1.62
perpair,1000PEPE+ETH+HBAR,0.45,3,86.4,6.17,1.76,3.83,355,58.3,7.32,1.56
default,BCH+ETH+VET,0.5,3,86.2,6.46,1.82,3.7,334,54.1,7.53,1.63
perpair,APT+BCH+VET,0.45,2,86.2,4.95,1.88,4.18,358,72.5,7.44,1.80
default,APT+BNB+LTC,0.45,3,86.2,7.31,1.75,3.62,363,49.7,7.93,1.53
thr06,APT+ETH+VET,0.45,2,86.1,5.43,1.77,3.84,382,63.3,6.56,1.66
perpair,ADA+BCH+DOGE,0.45,3,86.1,7.73,1.78,3.7,371,64.0,6.81,1.62
rr28,ETH+SNX+VET,0.45,3,86.1,7.75,1.88,4.07,352,52.6,7.03,1.58
rr28,ADA+APT+ETH,0.45,3,86.1,5.93,1.90,3.89,337,58.7,6.55,1.66
rr28,ETH+HBAR+TON,0.5,3,86.0,7.75,1.80,4.03,326,45.6,7.44,1.50
rr28,BCH+LTC+TON,0.45,2,86.0,6.23,1.92,4.43,334,44.8,6.91,1.59
perpair,1000PEPE+ADA+TON,0.45,3,85.9,5.79,1.81,3.86,357,55.5,7.29,1.59
thr06,1000PEPE+BNB+TON,0.45,2,85.8,6.1,1.73,3.74,374,43.7,7.15,1.47
rr28,BCH+LTC+VET,0.45,2,85.8,5.5,1.89,4.33,353,52.4,6.31,1.64
thr06,1000PEPE+BNB+TON,0.45,3,85.8,7.12,1.67,3.6,397,47.0,7.09,1.49
rr28,ADA+APT+DOGE,0.45,3,85.8,6.1,1.82,3.75,356,62.7,6.76,1.68
default,BCH+TON+VET,0.5,3,85.7,6.19,1.77,3.59,348,57.3,7.97,1.64
perpair,BNB+DOGE+VET,0.45,3,85.6,6.3,1.73,3.62,377,38.9,7.62,1.45
perpair,ADA+APT+BNB,0.45,3,85.6,5.7,1.84,3.77,334,56.6,6.91,1.64
perpair,APT+DOGE+LTC,0.45,2,85.5,6.0,1.87,3.96,331,57.0,7.86,1.62
rr28,BCH+HBAR+LTC,0.5,3,85.5,7.47,1.76,3.96,335,59.8,7.35,1.56
rr40_sb20,APT+BCH+DOGE,0.45,2,85.5,7.12,1.82,3.55,325,70.7,7.19,1.74
rr28,1000PEPE+ETH+HBAR,0.65,2,85.5,7.48,1.62,3.17,306,70.0,7.96,1.53
rr28,LTC+SNX+VET,0.45,2,85.5,6.93,1.86,4.18,356,52.4,7.05,1.55
default,BCH+DOGE+HBAR,0.6,3,85.4,7.89,1.60,3.29,322,71.5,7.25,1.58
perpair,BCH+LTC+TON,0.45,2,85.4,6.51,1.95,4.25,314,51.2,7.1,1.63
perpair,1000PEPE+LTC+TON,0.45,2,85.4,5.69,1.92,4.13,319,45.3,6.55,1.55
perpair,ADA+BNB+LTC,0.55,2,85.4,7.93,1.72,3.45,299,56.5,7.74,1.54
default,APT+BCH+ETH,0.45,3,85.3,5.08,1.97,4.1,314,66.8,7.15,1.84
rr28,ADA+ETH+TON,0.45,3,85.3,7.43,1.90,4.19,335,46.1,6.72,1.59
thr06,1000PEPE+ADA+APT,0.5,2,85.3,7.41,1.67,3.4,362,83.1,7.25,1.65
thr06,APT+ETH+LTC,0.45,2,85.2,7.08,1.77,3.79,370,45.1,7.6,1.47
rr28,BCH+HBAR+LTC,0.5,2,85.1,7.13,1.78,4.0,326,63.9,6.3,1.62
perpair,1000PEPE+HBAR+TON,0.5,2,85.1,5.81,1.75,3.76,333,55.8,7.32,1.51
perpair,BNB+LTC+TON,0.45,3,85.1,5.19,1.90,4.02,304,36.1,7.86,1.49
rr28,ADA+BCH+LTC,0.45,3,85.1,4.76,1.86,4.25,344,58.7,6.93,1.64
rr28,ADA+DOGE+TON,0.45,3,85.1,6.16,1.82,3.96,354,49.7,7.88,1.61
perpair,BCH+LTC+VET,0.5,3,85.1,6.63,1.78,3.69,350,64.1,7.8,1.62
rr28,BCH+DOGE+XRP,0.5,3,85.0,6.85,1.77,3.8,328,54.8,6.74,1.67
rr28,LTC+TON+XRP,0.45,2,85.0,6.27,1.85,4.24,343,36.0,5.19,1.49
default,APT+LTC+WLD,0.45,2,85.0,6.92,1.81,3.94,347,42.1,7.74,1.46
default,APT+BCH+TON,0.45,3,85.0,6.73,1.90,3.98,328,69.8,5.84,1.86
perpair,ADA+APT+WLD,0.45,3,85.0,5.4,1.77,3.93,375,60.2,7.61,1.58
rr28,APT+BCH+BNB,0.45,3,84.9,6.71,1.86,4.26,342,58.3,5.98,1.71
default,APT+BCH+BNB,0.5,3,84.9,7.25,1.74,3.61,334,70.0,6.25,1.75
default,APT+BNB+TON,0.45,3,84.8,7.12,1.77,3.91,351,53.1,7.82,1.64
perpair,BNB+ETH+LTC,0.45,2,84.8,7.25,1.88,3.92,298,41.8,7.37,1.55
rr28,APT+TON+XRP,0.45,2,84.8,6.38,1.90,4.27,330,49.2,7.28,1.66
rr28,BCH+BNB+TON,0.45,3,84.8,6.42,1.85,4.07,340,45.5,7.07,1.63
default,1000PEPE+APT+TON,0.45,2,84.8,6.02,1.89,4.08,322,64.9,6.13,1.78
thr06,DOGE+ETH+LTC,0.45,2,84.8,6.77,1.73,3.54,374,41.2,7.26,1.44
rr28,APT+TON+XRP,0.45,3,84.7,6.38,1.84,4.09,346,47.8,7.75,1.62
rr28,ETH+LTC+VET,0.45,2,84.7,6.0,1.88,4.32,353,34.4,6.99,1.45
