label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf
perpair,ETH+TON+VET,0.45,3,112.2,5.04,1.97,4.42,369,48.0,7.77,1.55
rr28,APT+ENS+TON,0.45,2,112.2,5.72,2.03,4.89,361,47.7,6.88,1.58
rr40_sb20,APT+ENS+LTC,0.45,2,112.1,7.78,1.82,4.1,367,53.1,7.83,1.51
default,APT+ETH+SNX,0.5,2,112.1,5.98,2.06,4.34,315,75.0,7.95,1.70
rr28,BCH+LTC+TON,0.5,3,112.1,6.23,1.98,4.61,344,55.2,7.65,1.61
perpair,APT+BCH+WLD,0.5,3,112.1,7.69,1.90,4.31,373,72.9,7.71,1.64
rr28,ENS+ETH+TON,0.45,2,112.0,7.84,2.13,5.0,343,34.2,7.26,1.48
perpair,APT+TON+XRP,0.45,2,111.9,5.45,2.09,4.82,325,53.8,7.15,1.67
thr06,BCH+DOGE+ETH,0.5,2,111.9,7.3,1.92,4.12,352,55.2,7.3,1.54
rr28,APT+ETH+LTC,0.5,2,111.9,4.34,2.03,4.51,335,49.0,7.26,1.53
perpair,1000PEPE+BCH+ETH,0.45,2,111.8,6.68,2.07,4.49,342,66.8,7.88,1.71
default,APT+BCH+ENS,0.5,2,111.5,7.31,1.93,4.18,344,79.9,7.26,1.85
rr28,LTC+TON+XRP,0.55,2,111.5,7.61,1.84,4.24,343,45.4,6.31,1.48
rr28,APT+BNB+ENS,0.5,2,111.3,6.66,1.85,4.17,368,49.2,7.82,1.52
rr28,BCH+LTC+SNX,0.5,2,111.3,6.72,2.04,4.76,330,69.1,7.26,1.66
default,1000PEPE+APT+TON,0.55,2,111.1,7.31,1.88,4.08,322,83.7,7.47,1.77
default,APT+BCH+ENS,0.5,3,111.1,7.86,1.88,4.05,355,80.2,7.68,1.80
perpair,BNB+ETH+TON,0.45,2,111.1,5.32,2.06,4.56,317,41.0,7.26,1.54
rr28,BCH+ETH+SNX,0.55,2,111.0,6.37,2.03,4.47,304,82.8,6.31,1.78
rr28,ENS+ETH+LTC,0.45,2,110.9,7.1,2.05,4.75,357,30.2,7.83,1.39
rr28,APT+ETH+SNX,0.5,3,110.8,6.75,2.04,4.46,331,72.2,7.66,1.66
perpair,APT+BCH+LTC,0.55,2,110.7,5.8,1.99,4.21,317,87.5,7.96,1.75
rr28,BCH+BNB+VET,0.6,3,110.6,7.15,1.73,3.79,363,68.1,7.7,1.61
thr06,BCH+ETH+LTC,0.5,2,110.6,7.98,1.92,4.02,361,51.7,6.25,1.50
perpair,ADA+ETH+TON,0.5,2,110.5,7.46,1.92,4.3,330,59.9,7.79,1.58
rr28,ETH+SNX+TON,0.5,3,110.4,7.38,2.03,4.55,329,57.2,6.96,1.59
rr28,APT+BCH+DOGE,0.5,2,110.3,5.63,2.02,4.6,328,72.3,6.12,1.80
perpair,APT+ETH+SNX,0.45,2,110.1,6.0,2.01,4.51,346,66.5,7.13,1.61
perpair,ADA+ETH+LTC,0.55,2,110.1,7.69,1.87,3.89,311,73.1,7.34,1.63
rr28,ADA+BCH+LTC,0.55,2,109.9,6.0,1.88,4.4,330,71.9,7.02,1.63
perpair,BCH+TON+WLD,0.5,2,109.8,7.24,1.94,4.34,353,59.6,6.99,1.60
perpair,DOGE+LTC+XRP,0.55,2,109.8,6.68,1.76,3.64,330,56.4,6.92,1.51
perpair,APT+BNB+XRP,0.5,2,109.8,6.0,1.90,4.16,318,55.5,7.55,1.63
perpair,BCH+TON+VET,0.5,3,109.6,7.66,1.92,4.28,366,60.8,7.09,1.62
rr28,APT+BNB+DOGE,0.55,2,109.6,6.59,1.79,3.97,347,62.4,6.91,1.61
default,APT+BCH+ETH,0.55,2,109.5,6.19,2.00,4.17,306,87.7,7.37,1.91
perpair,ENS+ETH+TON,0.45,2,109.5,7.19,1.97,4.49,326,46.8,7.9,1.58
perpair,ADA+ETH+TON,0.45,3,109.5,6.57,1.98,4.44,346,55.6,7.04,1.60
default,BCH+SNX+TON,0.5,3,109.4,7.45,2.02,4.26,321,69.9,7.89,1.67
perpair,BCH+ETH+LTC,0.5,2,109.3,7.22,2.02,4.21,316,68.9,5.22,1.69
rr28,ADA+APT+ETH,0.55,2,109.3,6.07,1.95,4.1,316,73.5,7.95,1.68
perpair,1000PEPE+ADA+ETH,0.5,2,109.2,6.59,1.89,3.97,337,73.5,7.56,1.66
thr06,ETH+TON+VET,0.5,3,109.2,6.18,1.76,3.96,407,55.2,7.89,1.50
rr28,ETH+SNX+TON,0.5,2,109.1,7.38,2.07,4.63,318,58.3,7.94,1.61
thr06,APT+SNX+TON,0.5,3,109.0,7.68,1.75,4.0,395,82.2,7.41,1.58
rr28,DOGE+ETH+TON,0.5,3,109.0,5.49,1.97,4.36,338,43.0,7.41,1.55
perpair,BCH+TON+VET,0.55,2,108.8,7.78,1.87,4.06,349,66.2,7.74,1.63
rr28,BCH+ETH+LTC,0.5,3,108.8,5.21,2.02,4.66,328,52.3,6.47,1.59
default,LTC+TON+XRP,0.5,2,108.8,6.76,1.89,4.27,336,38.1,7.04,1.43
thr06,DOGE+SNX+TON,0.5,2,108.7,7.94,1.77,4.12,376,70.0,7.83,1.51
rr28,APT+SNX+TON,0.5,2,108.7,7.54,2.01,4.64,328,75.3,7.46,1.69
default,APT+ETH+LTC,0.5,2,108.6,5.93,1.97,4.2,328,58.4,6.94,1.60
rr28,ETH+LTC+SNX,0.5,2,108.5,5.99,2.01,4.64,328,51.2,6.77,1.51
thr06,1000PEPE+SNX+TON,0.5,2,108.5,7.09,1.83,4.18,367,75.5,6.81,1.57
rr28,BCH+ETH+LTC,0.5,2,108.5,5.21,2.05,4.73,322,51.8,6.08,1.61
perpair,APT+BCH+BNB,0.5,2,108.4,6.74,2.00,4.41,323,67.5,7.58,1.72
rr40_sb20,APT+ETH+XRP,0.45,3,108.4,7.47,1.98,3.9,329,60.4,7.79,1.66
perpair,BCH+ETH+VET,0.5,2,108.3,6.83,1.94,4.27,356,67.5,6.67,1.68
rr28,APT+ETH+XRP,0.55,2,108.2,7.26,1.90,4.12,321,57.0,7.9,1.63
perpair,ADA+BNB+ETH,0.5,2,108.0,7.92,1.88,4.03,319,59.0,7.59,1.61
rr28,ETH+LTC+XRP,0.55,2,108.0,7.21,1.84,4.09,331,35.7,7.98,1.40
rr28,BCH+ENS+LTC,0.45,2,107.9,6.99,2.02,4.86,356,48.6,7.94,1.59
rr28,ADA+LTC+TON,0.5,3,107.7,5.64,1.87,4.4,363,52.9,7.14,1.52
thr06,APT+BCH+WLD,0.5,3,107.6,7.73,1.81,4.04,390,73.0,7.67,1.61
rr28,ADA+APT+LTC,0.5,3,107.6,5.42,1.87,4.16,365,67.7,7.32,1.59
rr28,APT+BCH+ENS,0.45,2,107.6,5.55,2.06,4.83,349,58.2,6.72,1.71
rr28,APT+ETH+SNX,0.5,2,107.3,6.17,2.06,4.52,319,67.9,7.66,1.66
rr28,BCH+TON+VET,0.55,3,107.3,7.76,1.84,4.09,355,67.8,6.63,1.69
